group,PLAYERS,MIN,AST_PER_MIN,BLK_PER_MIN,FG3A_PER_MIN,FG3M_PER_MIN,FGM_PER_MIN,PFD_PER_MIN,PTS_2ND_CHANCE_PER_MIN,PTS_FB_PER_MIN,PTS_PAINT_PER_MIN,REB_PER_MIN,STL_PER_MIN
0,154,17.066573275034322,0.04490126223900061,0.04142843419229428,0.015318965157338247,0.004595292002594681,0.1240798802447554,0.07495879843078558,0.07008334129551984,0.021188037702559462,0.18617388089109593,0.26350927889453357,0.025131235325966297
1,146,17.695236913578057,0.05556596728754903,0.0160931625769774,0.1256272689993812,0.042781419282364466,0.10753484625504048,0.04518506355063351,0.03574192122591518,0.03737929499206526,0.08725605701976383,0.1478106857212891,0.02571060970386147
2,130,21.04098773578267,0.06489005055494146,0.017575930985819537,0.08210340467935939,0.026393231868945023,0.1482625683043504,0.0766377555557797,0.051845810765250896,0.06415849600876607,0.18429656006057502,0.17038037683320004,0.03170913809256617
3,134,18.887264707868553,0.14907777307744663,0.008919892192124674,0.09217040418085275,0.029744452913382964,0.11668995757078902,0.06411894181483553,0.02593704009475847,0.04432484250997005,0.11799194609471882,0.1116304284147497,0.04044566553472881
4,160,21.877931976463135,0.07646525769183261,0.009862647587242746,0.17396612967011696,0.06342206761109337,0.15146298545519893,0.06153331044055761,0.040341207202954824,0.06354701500255562,0.11720123566486715,0.12478271311167358,0.028647278198133758
5,97,22.82024292452151,0.05655209898509169,0.03842349137082738,0.023707527531021746,0.007463983040608244,0.19077131506488734,0.11605370523218307,0.09951135873159989,0.039263761291234725,0.30754249746038737,0.2931021180526283,0.02767588587399871
6,85,27.96641662503153,0.1540391121541519,0.011176075551737918,0.1231593824912624,0.04225066052878965,0.18748887893465477,0.11062877012248201,0.043044975098878946,0.09023834869078443,0.2099430242236239,0.1289886359277804,0.038693656571856
