PLAYER_NAME,ID,GAMES,SEASONS,group
Damion Lee,1627814,47,2,4
Alex Poythress,1627816,51,3,0
Isaiah Taylor,1627819,71,2,3
Tyrone Wallace,1627820,92,2,2
James Webb III,1627821,10,1,1
Juancho Hernangomez,1627823,157,3,1
Ivica Zubac,1627826,140,3,5
Dorian Finney-Smith,1627827,183,3,1
Fred VanVleet,1627832,177,3,4
Georgios Papagiannis,1627834,39,2,0
Paul Zipser,1627835,98,2,1
Abdel Nader,1627846,108,2,1
Shawn Long,1627848,18,1,5
Mindaugas Kuzminskas,1627851,69,2,4
Ryan Arcidiacono,1627853,105,2,3
Bryn Forbes,1627854,198,3,4
Okaro White,1627855,44,3,1
Kyle Collinsworth,1627858,32,1,3
Danuel House Jr.,1627863,63,3,4
Jalen Jones,1627883,32,2,2
Derrick Jones Jr.,1627884,112,3,2
Shaquille Harrison,1627885,96,2,3
Alex Caruso,1627936,60,2,3
Myke Henry,1627988,20,1,3
David Nwaba,1628021,141,3,2
Alfonzo McKinnie,1628035,86,2,2
Markelle Fultz,1628365,33,2,2
Lonzo Ball,1628366,99,2,3
Josh Jackson,1628367,156,2,6
De'Aaron Fox,1628368,154,2,6
Jayson Tatum,1628369,159,2,2
Malik Monk,1628370,136,2,4
Jonathan Isaac,1628371,102,2,2
Dennis Smith Jr.,1628372,122,2,6
Frank Ntilikina,1628373,121,2,3
Lauri Markkanen,1628374,120,2,4
Donovan Mitchell,1628378,156,2,6
Luke Kennard,1628379,135,2,4
Zach Collins,1628380,143,2,0
John Collins,1628381,135,2,5
Justin Jackson,1628382,149,2,1
OG Anunoby,1628384,141,2,1
Harry Giles III,1628385,58,1,5
Jarrett Allen,1628386,152,2,5
Bam Adebayo,1628389,151,2,5
Terrance Ferguson,1628390,134,2,1
D.J. Wilson,1628391,70,2,1
Jawun Evans,1628393,56,2,3
Jordan Bell,1628395,125,2,0
Ivan Rabb,1628397,85,2,5
Kyle Kuzma,1628398,146,2,4
Semi Ojeleye,1628400,129,2,1
Derrick White,1628401,84,2,3
Frank Jackson,1628402,61,1,4
Josh Hart,1628404,129,2,4
Johnathan Motley,1628405,33,2,5
Dwayne Bacon,1628407,96,2,1
Alec Peters,1628409,20,1,4
Wes Iwundu,1628411,130,2,1
Frank Mason,1628412,90,2,6
Jonah Bolden,1628413,44,1,1
Sindarius Thornwell,1628414,137,2,3
Dillon Brooks,1628415,100,2,2
Tyler Dorsey,1628416,104,2,4
Jaron Blossomgame,1628417,27,1,1
Thomas Bryant,1628418,87,2,5
Monte Morris,1628420,85,2,3
Damyean Dotson,1628422,117,2,4
Kobi Simmons,1628424,33,2,3
Sterling Brown,1628425,112,2,1
Luke Kornet,1628436,66,2,4
Isaiah Hicks,1628439,21,2,0
Kadeem Allen,1628443,37,2,3
Mike James,1628455,36,1,6
Milos Teodosic,1628462,60,2,4
Tyler Cavanaugh,1628463,50,2,1
Daniel Theis,1628464,129,2,0
Maxi Kleber,1628467,143,2,1
Antonio Blakeney,1628469,76,2,4
Torrey Craig,1628470,113,2,1
Milton Doyle,1628495,10,1,3
Jamel Artis,1628503,15,1,1
Andrew White III,1628510,15,1,4
Isaiah Briscoe,1628515,39,1,3
Jaylen Morris,1628537,10,2,2
Rodney Purvis,1628681,16,1,1
Rawle Alkins,1628959,10,1,2
Grayson Allen,1628960,38,1,4
Marvin Bagley III,1628963,62,1,5
Mo Bamba,1628964,47,1,0
Keita Bates-Diop,1628966,30,1,2
Mikal Bridges,1628969,82,1,3
Miles Bridges,1628970,80,1,2
Bruce Brown,1628971,74,1,1
Troy Brown Jr.,1628972,52,1,2
Jalen Brunson,1628973,73,1,6
Jevon Carter,1628975,39,1,4
Wendell Carter Jr.,1628976,44,1,0
Hamidou Diallo,1628977,50,1,2
Donte DiVincenzo,1628978,27,1,4
Shai Gilgeous-Alexander,1628983,82,1,3
Devonte' Graham,1628984,46,1,3
Aaron Holiday,1628988,50,1,4
Kevin Huerter,1628989,75,1,4
Chandler Hutchison,1628990,44,1,2
Jaren Jackson Jr.,1628991,58,1,5
Kevin Knox II,1628995,75,1,4
De'Anthony Melton,1629001,50,1,3
Shake Milton,1629003,20,1,1
Svi Mykhailiuk,1629004,42,1,4
Josh Okogie,1629006,74,1,2
Mitchell Robinson,1629011,66,1,5
Collin Sexton,1629012,82,1,6
Landry Shamet,1629013,79,1,4
Omari Spellman,1629016,46,1,1
Allonzo Trier,1629019,64,1,2
Moritz Wagner,1629021,42,1,2
Kenrich Williams,1629026,46,1,1
Trae Young,1629027,81,1,6
Deandre Ayton,1629028,71,1,5
Luka Doncic,1629029,72,1,6
Theo Pinson,1629033,18,1,4
Ray Spalding,1629034,14,1,5
Elie Okobo,1629059,53,1,3
Deng Adel,1629061,19,1,1
Rodions Kurucs,1629066,63,1,2
Brandon Sampson,1629102,14,1,1
Gary Clark,1629109,51,1,1
Jaylen Adams,1629121,34,1,1
Duncan Robinson,1629130,15,1,4
Yuta Watanabe,1629139,15,1,1
Johnathan Williams,1629140,23,1,5
Ryan Broekhoff,1629151,42,1,4
Cameron Reynolds,1629244,19,1,1
Dairis Bertans,1629541,12,1,1
