PLAYER_NAME,ID,GAMES,SEASONS,group
Sasha Vujacic,2756,239,5,4
Beno Udrih,2757,484,8,3
Anderson Varejao,2760,314,8,0
Chris Duhon,2768,227,4,3
Trevor Ariza,2772,699,10,4
Andres Nocioni,2804,140,3,4
Earl Barron,2853,58,5,0
Damien Wilkins,2863,271,5,2
Andrew Bogut,101106,440,10,0
Marvin Williams,101107,730,10,1
Chris Paul,101108,649,10,6
Raymond Felton,101109,651,10,3
Martell Webster,101110,360,6,1
Charlie Villanueva,101111,381,7,4
Channing Frye,101112,612,9,1
Ike Diogu,101113,38,2,5
Deron Williams,101114,534,8,6
Andrew Bynum,101115,205,4,5
Antoine Wright,101120,74,2,1
Joey Graham,101121,102,2,2
Danny Granger,101122,279,6,4
Gerald Green,101123,476,8,4
Hakim Warrick,101124,219,4,5
Nate Robinson,101126,336,7,6
Jarrett Jack,101127,544,9,3
Francisco Garcia,101128,258,6,1
Luther Head,101129,82,2,4
Johan Petro,101130,203,4,0
Jason Maxiell,101131,364,6,0
Linas Kleiza,101132,108,3,4
Ian Mahinmi,101133,573,10,0
David Lee,101135,540,8,5
Brandon Bass,101138,548,8,0
CJ Miles,101139,645,10,4
Ersan Ilyasova,101141,677,10,2
Ronny Turiaf,101142,221,6,0
Von Wafer,101144,91,2,2
Monta Ellis,101145,600,8,6
Lou Williams,101150,684,10,6
Mickael Gelabale,101153,36,1,1
Andray Blatche,101154,325,5,5
Ryan Gomes,101155,187,4,1
Amir Johnson,101161,733,10,0
Marcin Gortat,101162,737,10,0
Fabricio Oberto,101177,61,2,1
Ronnie Price,101179,343,8,3
Jose Calderon,101181,603,10,3
Alan Anderson,101187,276,6,1
James Singleton,101189,69,2,0
Will Bynum,101198,287,6,6
Stephen Graham,101211,129,2,1
Jawad Williams,101214,80,2,1
Kelenna Azubuike,101235,12,2,6
Chuck Hayes,101236,375,7,0
John Lucas III,101249,181,6,4
Jamario Moon,200081,128,3,1
Andrea Bargnani,200745,328,7,2
LaMarcus Aldridge,200746,727,10,5
Tyrus Thomas,200748,176,5,0
Shelden Williams,200749,171,3,0
Brandon Roy,200750,115,3,2
Randy Foye,200751,560,8,4
Rudy Gay,200752,639,10,2
JJ Redick,200755,695,10,4
Thabo Sefolosha,200757,622,10,3
Ronnie Brewer,200758,289,5,3
Rodney Carney,200760,95,2,4
Shawne Williams,200761,188,4,1
Oleksiy Pecherov,200762,43,1,0
Rajon Rondo,200765,588,10,3
Marcus Williams,200766,61,1,3
Josh Boone,200767,63,1,0
Kyle Lowry,200768,685,10,6
Shannon Brown,200769,316,6,2
Jordan Farmar,200770,285,7,4
Sergio Rodriguez,200771,134,2,3
